,setup,map_id,smoke_level,trial_index,rmse,rmse_scale,hallucination_count,hallucination_count_total,hallucination_percent,undetected_count,undetected_count_total,undetected_percent,num_clusters,number_disparity,latency_fusion,latency_inference
42,FUSION,2,0,9,0.35289733420346364,13.730187693505103,5168,19130,0.27015159435441716,1724,15183,0.11354804715800566,103,244639,0.36001445699441914,0.30532495339338395
43,FUSION,2,0,13,0.344436856953955,17.942322279484785,6492,21553,0.301210968310676,1590,15183,0.10472238688006323,93,244591,0.373829899876096,0.30968510380525727
44,FUSION,2,0,2,0.3751699067639887,17.830036264259128,8286,23861,0.3472612212396798,1473,15183,0.09701639992096424,70,244615,0.3653581671500474,0.30481385020539165
45,FUSION,2,3,3,0.4406872645611267,22.177444758501885,8165,16818,0.4854917350457843,3076,15183,0.2025950075742607,60,119455,0.319480350913814,0.30414618339687294
46,FUSION,2,3,5,0.41608523185115115,16.740767306198354,6860,16390,0.4185478950579622,2050,15183,0.13501942962523875,69,119703,0.32460198684064007,0.30337688952545355
47,FUSION,2,3,9,0.4203735060700817,14.721819255329189,6928,15274,0.4535812491816158,2721,15183,0.1792135941513535,63,121343,0.3263911709181241,0.3057254008199155
48,FUSION,2,3,0,0.42127384544143676,17.429737408431084,7378,16087,0.4586311928886679,1983,15183,0.13060659948626754,55,119935,0.32661201815168045,0.30418720719409964
49,FUSION,2,3,2,0.43194455699543033,16.498222298518012,7937,16489,0.4813512038328583,2303,15183,0.15168280313508528,65,120253,0.3318761814811898,0.30146561118513576
50,FUSION,2,3,13,0.4429869795890399,16.414422086424377,8367,17017,0.49168478580243286,1948,15183,0.12830138971217808,69,118981,0.3223549704906369,0.3044744936587939
51,FUSION,2,3,1,0.4194993224467745,15.252041872473919,7840,17198,0.45586696127456683,1840,15183,0.1211881709807021,63,119183,0.32402948376744295,0.304539184380471
52,FUSION,2,3,6,0.42803542234943676,14.32811095486963,7151,15825,0.45187993680884675,1769,15183,0.11651188829612066,70,118659,0.3229891529541142,0.3051600373252836
53,FUSION,2,3,7,0.419101126613718,14.022091461981201,7950,16486,0.4822273444134417,2306,15183,0.15188039254429295,62,118945,0.3244735889276199,0.3045715270425825
54,FUSION,2,3,11,0.4238966495711683,20.647281262648377,7189,14894,0.4826775882905868,2410,15183,0.15873015873015872,71,119387,0.3225166590745784,0.3040241715877401
55,FUSION,2,3,14,0.44913498852992423,15.787730398895658,7454,16081,0.46352838753808845,2212,15183,0.14568925772245275,65,119013,0.32187751132269504,0.30416349741915283
56,FUSION,2,3,12,0.40216259839606866,12.419901916268847,5552,13262,0.4186397225154577,2282,15183,0.15029967727063162,64,119298,0.3228007598903784,0.30403868444060683
57,FUSION,2,3,4,0.43160773635389144,16.391507590593797,6878,14851,0.463133795703993,2466,15183,0.16241849436870184,68,119993,0.32338725586822803,0.30385449890778443
58,FUSION,2,3,10,0.43953542334355283,13.912117617607175,7414,15369,0.48239963563016464,2243,15183,0.14773101495093197,68,119652,0.3226496309559635,0.30438206356761516
59,FUSION,2,3,8,0.4298083475865561,12.598919812031525,7632,16240,0.46995073891625616,2408,15183,0.1585984324573536,67,118099,0.3218387026991388,0.30425138685521025
60,STEREO,2,2,0,0.1487740426060151,15.578199597928373,114,6072,0.018774703557312252,5369,15183,0.35361917934532044,40,148740,,
